"ID","Source","Family","Species","CommonName","Island","FirstRecorded","Notes"
"1791","Insects of Micronesia 6(7)","Pseudococcidae","Planococcus lilacinus (Cockerell)",NULL,"Ifaluk","1958",NULL
"1792","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus casuarinae (Takahashi)",NULL,"Koror","1938",NULL
"1793","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus citriculus Green",NULL,"Koror","1953",NULL
"1794","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus citriculus Green",NULL,"Ponape","1946",NULL
"1795","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus dybasi Beardsley",NULL,"Ulebsehel(Aurapushekaru)","1948",NULL
"1796","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus gilbertensis Beardsley",NULL,"Tarawa","1956",NULL
"1797","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus kusaiensis Beardsley",NULL,"Kusaie","1946",NULL
"1798","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Ngerkabesang","1954",NULL
"1799","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Babelthuap","1947",NULL
"1800","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Ulebsehel(Aurapushekaru)","1948",NULL
"1801","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Yap","1950",NULL
"1802","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Eauripik","1958",NULL
"1803","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus macrocirculus Beardsley",NULL,"Tellei","1964",NULL
"1804","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus marshallensis Beardsley",NULL,"Jaluit","1946",NULL
"1805","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus marshallensis Beardsley",NULL,"Ailiglapalap","1946",NULL
"1806","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Marakei","1957",NULL
"1807","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Eniwetok","1946",NULL
"1808","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Wotho","1953",NULL
"1809","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Kwajalein","1946",NULL
"1810","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Ailiglapalap","1946",NULL
"1811","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Jaluit","1953",NULL
"1812","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Likiep","1946",NULL
"1813","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Majuro","1946",NULL
"1814","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Arno","1950",NULL
"1815","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Marakei","1957",NULL
"1816","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Nukuoru","1946",NULL
"1817","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Utot","1946",NULL
"1818","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus microadonidum Beardlsey",NULL,"Ponape","1950",NULL
"1819","Insects of Micronesia 6(7)","Pseudococcidae","Pseudococcus multiductus Beardsley",NULL,"Babelthuap","1947",NULL
